time	I(C1)	I(D1)	I(L1)	I(Rl)	Ix(U2:C)
1.600026414112169e-005	-2.618475e-001	4.429203e-007	9.964873e-001	2.618478e-001	9.964870e-001
1.600036279439301e-005	-2.618475e-001	4.403901e-007	9.964897e-001	2.618478e-001	9.964894e-001
1.600049868843729e-005	-2.618474e-001	4.404137e-007	9.964929e-001	2.618477e-001	9.964927e-001
1.600072821191130e-005	-2.618473e-001	4.298451e-007	9.964985e-001	2.618476e-001	9.964982e-001
1.600099999999986e-005	-2.618472e-001	3.791697e-007	9.965050e-001	2.618475e-001	9.965048e-001
1.600102717880855e-005	-2.618472e-001	3.988245e-007	9.965057e-001	2.618474e-001	9.965054e-001
1.600108153642591e-005	-2.618472e-001	3.998354e-007	9.965070e-001	2.618474e-001	9.965068e-001
1.600119025166151e-005	-2.618471e-001	3.734242e-007	9.965096e-001	2.618474e-001	9.965094e-001
1.600128882030261e-005	-2.618471e-001	3.596273e-007	9.965120e-001	2.618473e-001	9.965118e-001
1.600142290821439e-005	-2.618470e-001	3.564078e-007	9.965152e-001	2.618473e-001	9.965150e-001
1.600159223961572e-005	-2.618470e-001	3.607443e-007	9.965193e-001	2.618472e-001	9.965191e-001
1.600193090241838e-005	-2.618468e-001	3.709117e-007	9.965275e-001	2.618470e-001	9.965273e-001
1.600240309093497e-005	-2.618466e-001	3.785158e-007	9.965389e-001	2.618468e-001	9.965386e-001
1.600290285647989e-005	-2.618463e-001	3.813184e-007	9.965509e-001	2.618466e-001	9.965507e-001
1.600360848469460e-005	-2.618460e-001	3.821995e-007	9.965679e-001	2.618462e-001	9.965677e-001
1.600462352367976e-005	-2.618455e-001	3.824502e-007	9.965924e-001	2.618458e-001	9.965922e-001
1.600665360165007e-005	-2.618446e-001	3.824859e-007	9.966413e-001	2.618448e-001	9.966411e-001
1.601071375759069e-005	-2.618427e-001	3.825296e-007	9.967392e-001	2.618430e-001	9.967390e-001
1.601883406947106e-005	-2.618389e-001	3.824296e-007	9.969350e-001	2.618392e-001	9.969347e-001
1.602290769780589e-005	-2.618371e-001	3.817888e-007	9.970331e-001	2.618373e-001	9.970329e-001
1.602532430596687e-005	-2.618359e-001	3.802116e-007	9.970914e-001	2.618362e-001	9.970911e-001
1.602676629936829e-005	-2.618353e-001	3.775046e-007	9.971261e-001	2.618355e-001	9.971259e-001
1.602812626077046e-005	-2.618347e-001	3.724111e-007	9.971589e-001	2.618349e-001	9.971587e-001
1.602913835640520e-005	-2.618342e-001	3.660606e-007	9.971833e-001	2.618344e-001	9.971831e-001
1.603001262827884e-005	-2.618338e-001	3.576732e-007	9.972044e-001	2.618340e-001	9.972042e-001
1.603079136163789e-005	-2.618335e-001	3.470775e-007	9.972231e-001	2.618336e-001	9.972230e-001
1.603156003614995e-005	-2.618331e-001	3.330670e-007	9.972417e-001	2.618333e-001	9.972415e-001
1.603237494598227e-005	-2.618327e-001	3.143587e-007	9.972613e-001	2.618329e-001	9.972612e-001
1.603319829372382e-005	-2.618324e-001	2.917156e-007	9.972811e-001	2.618325e-001	9.972810e-001
1.603418039525673e-005	-2.618320e-001	2.610695e-007	9.973049e-001	2.618321e-001	9.973047e-001
1.603547522672881e-005	-2.618314e-001	2.204271e-007	9.973360e-001	2.618315e-001	9.973359e-001
