time	I(C1)	I(D1)	I(L1)	I(Rl)	Ix(U2:C)
1.638496176898339e-005	-7.148336e-002	4.163368e-004	4.358593e-001	7.189953e-002	4.354430e-001
1.638864400726071e-005	-7.148205e-002	4.175335e-004	4.359468e-001	7.189942e-002	4.355294e-001
1.639253589383501e-005	-7.148061e-002	4.188514e-004	4.360371e-001	7.189930e-002	4.356184e-001
1.639767670272643e-005	-7.147867e-002	4.206308e-004	4.361531e-001	7.189915e-002	4.357326e-001
1.640388882794257e-005	-7.147624e-002	4.228792e-004	4.362883e-001	7.189896e-002	4.358656e-001
1.641221474047751e-005	-7.147287e-002	4.259896e-004	4.364608e-001	7.189871e-002	4.360349e-001
1.642311597309636e-005	-7.146829e-002	4.302308e-004	4.366714e-001	7.189838e-002	4.362414e-001
1.643862979170893e-005	-7.146155e-002	4.364926e-004	4.369399e-001	7.189790e-002	4.365035e-001
1.646332208200645e-005	-7.145056e-002	4.467334e-004	4.373144e-001	7.189716e-002	4.368679e-001
1.647498440535220e-005	-7.144408e-002	4.528613e-004	4.374679e-001	7.189681e-002	4.370152e-001
1.648223886883699e-005	-7.142314e-002	4.736222e-004	4.375516e-001	7.189663e-002	4.370781e-001
1.648633543578117e-005	-7.131420e-002	5.826663e-004	4.375952e-001	7.189674e-002	4.370128e-001
1.648861074818753e-005	-7.123385e-002	6.631248e-004	4.376182e-001	7.189684e-002	4.369551e-001
1.648981554499066e-005	-7.132053e-002	5.762199e-004	4.376299e-001	7.189662e-002	4.370536e-001
1.649073048467370e-005	-7.145713e-002	4.392858e-004	4.376386e-001	7.189629e-002	4.371993e-001
1.649161692803512e-005	-7.152771e-002	3.685237e-004	4.376468e-001	7.189611e-002	4.372751e-001
1.649245052014279e-005	-7.152946e-002	3.667441e-004	4.376546e-001	7.189608e-002	4.372810e-001
1.649332701634306e-005	-7.150909e-002	3.871262e-004	4.376626e-001	7.189610e-002	4.372714e-001
1.649433276769939e-005	-7.148954e-002	4.067015e-004	4.376717e-001	7.189611e-002	4.372655e-001
1.649528425154770e-005	-7.147568e-002	4.205514e-004	4.376802e-001	7.189611e-002	4.372609e-001
1.649626118211366e-005	-7.146024e-002	4.359982e-004	4.376888e-001	7.189611e-002	4.372538e-001
1.649719656476867e-005	-7.144139e-002	4.548611e-004	4.376969e-001	7.189612e-002	4.372428e-001
1.649816474937581e-005	-7.141832e-002	4.779487e-004	4.377052e-001	7.189614e-002	4.372284e-001
1.649910923517701e-005	-7.139387e-002	5.024228e-004	4.377132e-001	7.189617e-002	4.372123e-001
1.650007558281087e-005	-7.136769e-002	5.286323e-004	4.377212e-001	7.189620e-002	4.371941e-001
1.650102312518009e-005	-7.134096e-002	5.553936e-004	4.377289e-001	7.189622e-002	4.371750e-001
1.650198593499113e-005	-7.131257e-002	5.838067e-004	4.377366e-001	7.189626e-002	4.371543e-001
1.650293573117120e-005	-7.128330e-002	6.131134e-004	4.377441e-001	7.189628e-002	4.371324e-001
1.650389658999687e-005	-7.125237e-002	6.440788e-004	4.377514e-001	7.189633e-002	4.371088e-001
1.650484816642650e-005	-7.122042e-002	6.760705e-004	4.377585e-001	7.189637e-002	4.370840e-001
1.650580756437474e-005	-7.118683e-002	7.097042e-004	4.377655e-001	7.189641e-002	4.370573e-001
1.650676034329213e-005	-7.115205e-002	7.445210e-004	4.377722e-001	7.189646e-002	4.370293e-001
1.650771869774262e-005	-7.111561e-002	7.810173e-004	4.377789e-001	7.189651e-002	4.369994e-001
1.650867234722925e-005	-7.107782e-002	8.188522e-004	4.377852e-001	7.189656e-002	4.369679e-001
1.651154132165360e-005	-7.095450e-002	9.423546e-004	4.378030e-001	7.189674e-002	4.368623e-001
1.651249602522241e-005	-7.091001e-002	9.869174e-004	4.378085e-001	7.189681e-002	4.368233e-001
1.651360347327841e-005	-7.085607e-002	1.040933e-003	4.378144e-001	7.189689e-002	4.367759e-001
1.651485066040022e-005	-7.079229e-002	1.104820e-003	4.378207e-001	7.189699e-002	4.367197e-001
1.651633206239869e-005	-7.071211e-002	1.185123e-003	4.378275e-001	7.189712e-002	4.366487e-001
1.651804089378064e-005	-7.061331e-002	1.284089e-003	4.378344e-001	7.189728e-002	4.365571e-001
